Source,Target,Weight
Hà Nội,Việt Nam,1755
Mỹ,Việt Nam,1449
Trung Quốc,Việt Nam,1211
Mỹ,Trung Quốc,1211
Mỹ,Trump,1043
Donald Trump,Mỹ,1040
Thái Lan,Việt Nam,907
Hồ Chí Minh,Việt Nam,899
Nhật Bản,Việt Nam,874
TP. HCM,Việt Nam,797
Nga,Ukraine,789
Hàn Quốc,Việt Nam,780
Việt Nam,châu Á,684
Mỹ,Nga,659
Mỹ,châu Âu,627
Donald Trump,Trump,621
Việt Nam,Đông Nam Á,563
Bác Hồ,Hồ Chí Minh,558
TP HCM,Việt Nam,553
Tô Lâm,Việt Nam,549
Mỹ,Ukraine,541
Hà Nội,TP. HCM,529
Anh,Mỹ,527
Nhật Bản,Trung Quốc,506
Mỹ,Reuters,504
Nam,Việt Nam,488
Hàn Quốc,Nhật Bản,476
Việt Nam,Đà Nẵng,465
Việt Nam,châu Âu,456
Pháp,Việt Nam,452
Mỹ,Nhật Bản,440
Mỹ,Washington,436
Việt Nam,[UNK] Độ,433
Việt Nam,miền Nam,433
Hàn Quốc,Trung Quốc,430
Bộ Chính trị,Việt Nam,426
Mỹ,Nhà Trắng,412
Việt Nam,[UNK],410
Singapore,Việt Nam,405
Hà Nội,Đà Nẵng,404
Mỹ,Pháp,401
Bác Hồ,Việt Nam,398
Việt,Việt Nam,372
Hàn Quốc,Mỹ,364
Bác,Hồ Chí Minh,363
Hà Nội,Hải Phòng,356
Nga,Việt Nam,353
Hà Nội,TP HCM,351
ASEAN,Việt Nam,351
Indonesia,Việt Nam,349
Lào,Việt Nam,347
Thái Lan,Trung Quốc,344
Trung Quốc,[UNK] Độ,332
Mỹ,Đức,331
châu Âu,Đức,328
Bắc Kinh,Trung Quốc,323
Malaysia,Việt Nam,322
Anh,Việt Nam,321
Nhà Trắng,Trump,319
Campuchia,Việt Nam,319
Việt Nam,Đức,318
Phạm Minh Chính,Việt Nam,317
Nga,Vladimir Putin,314
Trung Quốc,châu Á,313
Trump,Trung Quốc,311
Mỹ,[UNK] Độ,308
Kiev,Ukraine,301
Trung Quốc,châu Âu,298
Canada,Mỹ,291
Moscow,Nga,290
Nga,Putin,288
Kiev,Nga,286
Pháp,Đức,284
Pháp,châu Âu,284
Hà Nội,Mỹ,281
Nga,Trump,281
Anh,châu Âu,279
Donald Trump,Nga,275
Donald Trump,Trung Quốc,270
Dân trí,Việt Nam,269
Mỹ,Trung Đông,267
Hà Nội,Thanh Hóa,264
Hà Nội,TP Hà Nội,260
Mỹ,[UNK],260
Anh,Pháp,260
Bác,Bác Hồ,260
Trump,Ukraine,258
Nga,Trung Quốc,257
Dân trí,Hà Nội,257
Donald Trump,Ukraine,254
Bắc,Nam,251
AFP,Mỹ,251
Mỹ,châu Á,250
Reuters,Trung Quốc,246
Quảng Nam,Đà Nẵng,244
Anh,Đức,244
Donald Trump,Nhà Trắng,244
Ukraine,Vladimir Putin,244
Israel,Mỹ,241
Hải Phòng,Việt Nam,240
Philippines,Việt Nam,238
AP,Mỹ,238
Putin,Ukraine,238
Nga,châu Âu,231
Ban Bí thư,Bộ Chính trị,230
Trung Quốc,Đài Loan,228
Bộ Chính trị,Tô Lâm,228
Nhật Bản,châu Á,224
Reuters,Trump,223
Trump,Washington,220
Mỹ,New York,218
Malaysia,Thái Lan,217
Bác,Việt Nam,215
Hà Nội,Trung Quốc,214
Hà Nội,Hồ Chí Minh,214
Nga,Thổ Nhĩ Kỳ,214
Trung,Trung Quốc,214
Thái Lan,Đông Nam Á,213
Nhật,Nhật Bản,212
Nhật Bản,Thái Lan,211
Thái Bình Dương,châu Á,207
Istanbul,Nga,207
EU,Mỹ,205
Istanbul,Ukraine,204
Moscow,Ukraine,203
Ukraine,Zelensky,203
Mỹ,Trung,202
Sài Gòn,Việt Nam,201
Donald Trump,Reuters,201
Bắc Kinh,Mỹ,201
Bộ Y tế,Việt Nam,200
châu Á,châu Âu,200
Hoa Kỳ,Việt Nam,199
Hồ Chí Minh,Tô Lâm,198
Donald Trump,Washington,197
Ukraine,Volodymyr Zelensky,197
Nga,phương Tây,196
Ukraine,châu Âu,196
Mỹ,phương Tây,195
Bình Dương,Việt Nam,195
Nhật,Việt Nam,194
Mỹ,Vladimir Putin,194
Mỹ,Thổ Nhĩ Kỳ,192
Nga,Zelensky,192
Iran,Mỹ,192
