Rank,Entity,Frequency,Num_Articles
1,Việt Nam,50594,10972
2,Ảnh,21285,10881
3,Mỹ,19979,5002
4,Hà Nội,19889,6340
5,Trung Quốc,10606,2941
6,Việt,9016,3658
7,Anh,8258,3308
8,Đà Nẵng,7903,1801
9,Hồ Chí Minh,7775,2090
10,Đảng,7618,2004
11,Nga,7582,1236
12,Bộ,7490,3514
13,Nguyễn,7398,3285
14,Nam,5208,2633
15,Bác,4464,752
16,Luật,4293,1462
17,Thái Lan,4186,1172
18,Nhật Bản,4048,1605
19,Ukraine,4045,581
20,Hàn Quốc,3932,1484
21,Pháp,3807,1559
22,Trump,3622,679
23,Âu,3547,1678
24,Đức,3325,1407
25,Tết,3184,966
26,Á,3155,1677
27,Bắc,3152,1676
28,Hồ,3080,1090
29,Ấn Độ,2924,855
30,Sài Gòn,2839,1018
31,Hải Phòng,2690,808
32,Báo,2644,1013
33,Đoàn,2437,1109
34,Quảng Nam,2328,721
35,Bình Định,2288,595
36,Thanh Hóa,2236,758
37,Bình Dương,2186,763
38,Huế,2171,698
39,Tây,2105,1054
40,Cục,2033,1179
41,Minh,2025,849
42,Nghệ An,2006,775
43,Hùng,1916,797
44,Viện,1895,1121
45,Trung,1879,1037
46,Israel,1839,288
47,Phạm,1808,944
48,Chính trị,1799,832
49,Tuấn,1771,646
50,V,1748,623
51,Lào,1746,443
52,Hoàng,1738,825
53,Tô Lâm,1736,577
54,Lễ,1714,1056
55,Lê,1711,924
56,Donald Trump,1705,896
57,Covid,1665,671
58,C,1662,948
59,Apple,1656,431
60,Nam Định,1640,477
61,B,1622,801
62,City,1570,448
63,Đồng Nai,1535,666
64,Singapore,1505,655
65,Ban,1477,1014
66,Nhật,1475,628
67,League,1473,368
68,Trần,1472,756
69,Cà Mau,1449,356
70,Trưởng,1405,998
71,Cuộc,1392,927
72,Quỹ,1369,613
73,Đắk Lắk,1366,442
74,Quảng Ninh,1363,541
75,Thanh Niên,1359,609
76,Facebook,1350,777
77,Cần Thơ,1320,487
78,Vũng Tàu,1289,487
79,Campuchia,1287,462
80,Indonesia,1274,492
81,Video,1272,1004
82,Toán,1259,312
